algorithm,array_type,n,time_ns_median,time_ns_min,time_ns_max,char_comparisons,correct
std_quicksort,random,100,17100,16800,22800,14353,1
std_mergesort,random,100,4900,3900,10600,610,1
string_quicksort_3way,random,100,2300,1900,6300,615,1
string_mergesort_lcp,random,100,6800,5100,11600,563,1
msd_radix_sort,random,100,9200,8300,15300,0,1
msd_radix_quick_sort,random,100,3100,2700,4400,105,1
std_quicksort,random,200,60700,36800,66000,30504,1
std_mergesort,random,200,11400,10300,15900,1509,1
string_quicksort_3way,random,200,7000,5600,13800,1752,1
string_mergesort_lcp,random,200,12900,11300,18300,1320,1
msd_radix_sort,random,200,15200,14900,18900,0,1
msd_radix_quick_sort,random,200,3600,3200,6500,342,1
std_quicksort,random,300,60000,56000,63800,44411,1
std_mergesort,random,300,19800,16800,34200,2547,1
string_quicksort_3way,random,300,12200,9100,22000,2761,1
string_mergesort_lcp,random,300,28000,21900,34300,2138,1
msd_radix_sort,random,300,22900,22100,27400,0,1
msd_radix_quick_sort,random,300,7600,5200,13900,623,1
std_quicksort,random,400,109300,85800,131100,60818,1
std_mergesort,random,400,35100,28600,53400,3702,1
string_quicksort_3way,random,400,20800,15500,34300,3611,1
string_mergesort_lcp,random,400,37900,29000,49600,3025,1
msd_radix_sort,random,400,28900,26400,30700,0,1
msd_radix_quick_sort,random,400,6800,6100,15300,966,1
std_quicksort,random,500,101100,99300,108000,72742,1
std_mergesort,random,500,44000,38900,55200,4890,1
string_quicksort_3way,random,500,25300,20600,36600,4410,1
string_mergesort_lcp,random,500,50700,47400,61200,3939,1
msd_radix_sort,random,500,30600,30200,31800,0,1
msd_radix_quick_sort,random,500,8700,8000,17700,1343,1
std_quicksort,random,600,140400,129400,300500,90228,1
std_mergesort,random,600,59900,55200,74200,6174,1
string_quicksort_3way,random,600,38100,31100,46000,5755,1
string_mergesort_lcp,random,600,67200,62500,74700,4877,1
msd_radix_sort,random,600,34600,34300,35500,0,1
msd_radix_quick_sort,random,600,10700,9300,21900,1752,1
std_quicksort,random,700,161000,157000,168900,106852,1
std_mergesort,random,700,67200,63900,78500,7486,1
string_quicksort_3way,random,700,45300,41100,55700,6906,1
string_mergesort_lcp,random,700,81000,72000,107600,5824,1
msd_radix_sort,random,700,42300,40400,79400,0,1
msd_radix_quick_sort,random,700,14300,11800,29800,2236,1
std_quicksort,random,800,196400,189800,272600,125437,1
std_mergesort,random,800,82600,76600,99500,8827,1
string_quicksort_3way,random,800,54800,49200,62900,7788,1
string_mergesort_lcp,random,800,94100,83300,103500,6780,1
msd_radix_sort,random,800,45800,44800,47200,0,1
msd_radix_quick_sort,random,800,17200,13800,30500,2620,1
std_quicksort,random,900,209100,197700,266600,138213,1
std_mergesort,random,900,96900,89200,119400,10240,1
string_quicksort_3way,random,900,65100,59900,73500,9372,1
string_mergesort_lcp,random,900,101500,98500,125400,7791,1
msd_radix_sort,random,900,51100,50600,53100,0,1
msd_radix_quick_sort,random,900,27500,16200,35400,3137,1
std_quicksort,random,1000,232100,224000,302600,156641,1
std_mergesort,random,1000,117100,105800,128900,11636,1
string_quicksort_3way,random,1000,71600,62400,81800,10019,1
string_mergesort_lcp,random,1000,119300,111000,133400,8810,1
msd_radix_sort,random,1000,56500,55600,61400,0,1
msd_radix_quick_sort,random,1000,25200,19100,40200,3710,1
std_quicksort,random,1100,254900,250200,287300,174542,1
std_mergesort,random,1100,123700,119500,147700,13116,1
string_quicksort_3way,random,1100,78300,74700,89600,11363,1
string_mergesort_lcp,random,1100,129000,124000,149500,9855,1
msd_radix_sort,random,1100,62400,62200,111900,0,1
msd_radix_quick_sort,random,1100,25300,18200,45600,4228,1
std_quicksort,random,1200,272300,263300,298000,191666,1
std_mergesort,random,1200,162600,127900,166700,14597,1
string_quicksort_3way,random,1200,102300,93100,108300,13564,1
string_mergesort_lcp,random,1200,148000,146500,182100,10898,1
msd_radix_sort,random,1200,71100,69700,74600,0,1
msd_radix_quick_sort,random,1200,32800,22900,54300,4705,1
std_quicksort,random,1300,303100,295900,378800,204895,1
std_mergesort,random,1300,156500,138900,241800,16095,1
string_quicksort_3way,random,1300,101100,92600,111700,14424,1
string_mergesort_lcp,random,1300,165700,152300,179900,11909,1
msd_radix_sort,random,1300,76500,74500,77800,0,1
msd_radix_quick_sort,random,1300,63100,53300,258900,5370,1
std_quicksort,random,1400,470700,461100,481400,227034,1
std_mergesort,random,1400,187500,158700,227600,17652,1
string_quicksort_3way,random,1400,120900,111800,130200,14376,1
string_mergesort_lcp,random,1400,177900,171100,242800,13009,1
msd_radix_sort,random,1400,82000,81200,87800,0,1
msd_radix_quick_sort,random,1400,43000,28400,59800,5799,1
std_quicksort,random,1500,362900,339100,513800,239181,1
std_mergesort,random,1500,173600,166800,210000,19201,1
string_quicksort_3way,random,1500,115000,112700,124400,15877,1
string_mergesort_lcp,random,1500,196000,180200,206200,14058,1
msd_radix_sort,random,1500,89300,89000,105900,0,1
msd_radix_quick_sort,random,1500,55400,38800,63700,6334,1
std_quicksort,random,1600,359500,354100,550300,252726,1
std_mergesort,random,1600,185700,181800,215600,20781,1
string_quicksort_3way,random,1600,174200,136600,194700,17976,1
string_mergesort_lcp,random,1600,244300,225500,305300,15171,1
msd_radix_sort,random,1600,99900,99700,116900,0,1
msd_radix_quick_sort,random,1600,49600,35500,75100,7083,1
std_quicksort,random,1700,386800,376700,392400,268583,1
std_mergesort,random,1700,202400,193100,237200,22348,1
string_quicksort_3way,random,1700,139700,129200,146300,18355,1
string_mergesort_lcp,random,1700,231700,215900,269200,16254,1
msd_radix_sort,random,1700,114100,106100,117800,0,1
msd_radix_quick_sort,random,1700,60200,52200,79100,7804,1
